Company Name,Job Name,Job Location,Job Description,Salary,Rating,Company Size,Company Type,Company Sector,Year Founded,Company Industry,Company Revenue
The Burchell Group Inc.,Data Scientist,"Dallas, TX","Job Title:
Data Scientist
Type:
Direct Hire
Location:
Clearwater, FL or Dallas, TX
Experience:
3+ year
The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in the payments business. The primary function is to develop statistical models that are used by risk analysts to manage losses from fraud.
Roles & Responsibilities
Produce predictive scoring models, typically logistic regression models, to identify transactions with a high probability of resulting in a financial loss
Query databases to produce data sets for analysis and reporting
Run and modify complex SAS macros for analysis and reporting
Determine value of data elements in managing risk in the face of fraud
Recommend optimal risk management strategies based on results of analytical research
Summarize and present research to peer groups, senior management, and external clients when requested
Consult with various groups in the business in the use of decision sciences to improve the effectiveness risk management strategies
Most importantly, develop innovative solutions with minimal guidance to meet financial goals
Requirements
Programming skills in SAS (preferred), R, and/or Python
Experience querying data using SQL
Proven experience applying analytical and problem-solving skills to develop innovative solutions
Ability to present analytics to decision makers in a clear and understandable fashion
Applied experience in the areas of modeling binary outcomes preferred
Ability to complete self-directed analysis
Applied knowledge developing predictive models using regression analysis, decision trees, and neural networks a strong plus
Master's or PhD in highly quantitative field preferred, relevant certification training also considered; Some experience, could be academic, programming and modeling with SAS
1+ years applied experience using statistical software for data manipulation and analysis
Job Type: Full-time
Pay: $110,000.00 - $155,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
100% remote in Dallas
Education:
Master's (Preferred)
Experience:
Python: 3 years (Preferred)
SQL: 3 years (Preferred)
Data Scientists & Statisticians: 3 years (Preferred)
SAS Viya: 1 year (Preferred)
developing predictive models: 1 year (Preferred)
Work Location: One location",Employer Provided Salary:$110K - $155K,4.6,51 to 200 Employees,Company - Private,Human Resources & Staffing,2011,HR Consulting,$1 to $5 million (USD)
Insurity,Data Scientist,Remote,"Who We Are
Insurity is a leading property and casualty insurance software and data analytics provider, working with some of the world’s largest insurers, brokers, and MGAs, including 15 of the top 25 P&C carriers in the US. With 900+ team members globally, 10 office locations, and 300+ customers, we have a deep understanding of the insurance business, unparalleled technology expertise, and a singular focus of delivering a simplified insurance experience to our customers.
Insurity's next Data Scientist
Our Data Scientist will be an integral part of Insurity Analytics, working closely and collaboratively with insurance domain authorities, data analysts, engineers, and customers. They will develop highly robust predictive models that provide significant and measurable results for our customers. Additionally, they will partner with the sales and marketing teams to perform then deliver modeling proofs-of-concept & retro-tests, as well as help craft and deliver compelling product performance reads, product & concept education, and value proposition messaging.
What you'll do
Conduct sophisticated analytics activities demonstrating predictive modeling, machine learning, simulation, optimization, and other techniques to deliver insights or develop analytical solutions to achieve business objectives.
Optimally represent the Data Science group in a collaborative environment to complete company goals.
Support domain experts on efforts to develop scalable and robust solutions.
Translate sophisticated analytical and technical concepts for non-technical team members to enable understanding and drive informed business decisions.
Stay up to date on industry and job-related trends and standard methodologies, including reading relevant publications, articles, blogs, etc.
Who You Are
Bachelor’s degree or higher in Statistics, Computer Science, Actuarial Science, Mathematics or related quantitative field
2+ years of professional experience in an analytics role, focusing on statistical modeling or machine learning
2+ years of hands-on experience with R or Python
1+ years of hands-on experience with SQL
Strong ability to communicate sophisticated analyses and concepts to non-technical audiences within and outside of the organization.
Ability to work in a fast-paced environment and balance multiple priorities or tasks
Exposure to the insurance industry and concepts is a bonus
Location: This role will be Remote-US based.
Our Benefits:
Collaborative Culture | Flexible Hours | Growth Opportunities
Day 1 Health Insurance Coverage | Open PTO
Does Insurity sound like the right place for you? Send us your application and a cover letter highlighting what sets you apart from the nice-to-haves and makes you a must-have for our team!
Thank you for your interest in Insurity! Please understand that due to the volume of applicants we receive, only selected candidates will be contacted.
Insurity is proud to be an Equal Opportunity Employer
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",-1,3.5,501 to 1000 Employees,Company - Private,Information Technology,1971,Computer Hardware Development,$100 to $500 million (USD)
Peraton,Data Scientist,"Monterey, CA","Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our employees do the can’t be done, solving the most daunting challenges facing our customers.
Peraton currently seeks an experienced Data Scientist to provide support to a Department of Defense research laboratory.

This is a remote/telework opportunity, with a strong preference for someone with the ability to work on site in Monterey, CA.

Roles and responsibilities include, but are not limited to the following:
Develop data mining and modeling plans; describe, explore, and verify data quality; select, clean, construct, integrate, and format data; select modeling techniques; generate training, testing, and validation designs; build and evaluate models; develop visualizations of model results.
Responsible for developing statistical models and methods to support predictive analytics to help Army Leaders achieve and sustain individual readiness and optimize human performance.
This position requires data analytics, statistics, mathematical and communication skills while working in a multi-functional team environment.
Applies operations research, statistical, mathematical, and analytical techniques related to Health, Resilience, and Personal Readiness.
Provides analysis and develops information papers, presentations, and other correspondence as required.
Presents data to senior military and civilian leaders and provides recommendations as necessary.
Performs data consolidation, cleansing and analysis, and presents data from one or more source systems.

Basic Qualifications:
BS/BA degree and minimum 5-7 years relevant experience or MS degree and minimum of 3-5 years relevant experience or PhD and minimum 0-2 years relevant work experience
Experience with machine learning models, such as logistic regression, support vector machines, principal component analysis, clustering techniques (e.g., k-means, hierarchical), tree-based techniques, neural networks, and deep learning models.
Knowledge of and proficiency in R and/or Python.
Proficiency with data analysis and basic analytics.
Demonstrated experience in Oracle or SQL.
Ability to comprehend and analyze complex problems.
An understanding in performing basic data exploratory analysis and strong data visualization skills.
U.S. Citizenship and the ability to obtain/maintain Department of Defense (DoD) Secret security clearance.
Preferred Qualifications
Demonstrated strength and mastery in SQL and either R or Python.
Demonstrated experience developing data visualization products such as R Shiny and Tableau.
Military experience or other experience supporting the DoD.
Background in biostatistics, epidemiology, or behavioral research.
Active DoD Secret Clearance

Colorado Salary Minimum: $72,800
Colorado Salary Maximum: $176,600

The estimate displayed represents the typical salary range for this position, and is just one component of Peraton's total compensation package for employees. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, Peraton provides a variety of benefits to employees.",Employer Provided Salary:$177K,3.6,10000+ Employees,Company - Private,Information Technology,2017,Information Technology Support Services,$5 to $10 billion (USD)
Cleveland Clinic,Research Data Scientist II,"Cleveland, OH","Responsibilities:
Utilizes methods in the areas of Artificial Intelligence (AL), Machine Learning (ML), Deep Learning (DL), Natural Language Processing (NLP) to design and implement data solutions.
Documents best practices and solution frameworks
Collaborates with team members to develop to analytical techniques
Leverages ML an AI technology working directly with data to define analytics
Utilizes programming skills in SAS, SQL, SPSS and R or Python to create and design new reports independently.
Conducts in-depth data analysis to develop and test hypotheses
Provides guidance to other team members on building basic models.
Communicates and presents analytical findings to other investigators.
Identifies new technologies available for analytical area.
Other duties as assigned.
Education:
Bachelor’s degree in Statistics, Mathematics Computer Science, Engineering or related field.
Master’s in similar fields strongly preferred.
PhD in similar fields is preferred.
Languages:
Language required
Language preferred
Certifications:
None required
Complexity of Work:
Requires critical thinking skills, decisive judgment, and the ability to work with minimal supervision.
Must be able to work in a stressful environment and take appropriate action.
Work Experience:
Must possess a minimum of 4 years of experience conducting data analytics, math or statistical modeling or machine learning.
Highly proficient with programing skills in languages such as SAS, SQL, SPSS, R, Python, r similar.
Master’s degree can offset 2 years of experience
PhD degrees in related fields may offset the experience requirement
Physical Requirements:
Typical physical demands include a high degree of dexterity to produce materials on a PC, normal or corrected vision, extensive sitting and frequent walking, occasional lifting or carrying 5 to 15 pounds.
Personal Protective Equipment:
Follows standard precautions using personal protective equipment.",-1,3.8,10000+ Employees,Nonprofit Organization,Healthcare,1921,Health Care Services & Hospitals,$2 to $5 billion (USD)
Hilton Grand Vacations,Data Scientist,"Orlando, FL","Job Description
HGV now offers Day One Team Member Benefits
The Data Scientist for Information Management & Analytics utilizes a blend of science, economics, and operational data to identify and capitalize on opportunities to improve business performance. The role will prove analytics and statistical models to deliver real-time business recommendations and solutions. Areas of focus include Pricing, Inventory Management, Sales Efficiency, Marketing, Digital Analytics, Owner Satisfaction, and Portfolio Performance. This is a high-impact role in which you will have a direct influence on how decisions are made.
Position Summary:
Work closely with various business units to develop solutions for data-intensive business problems.
Identify and execute appropriate scientific methods (experimentation, causal inference, regression methods, machine learning, etc.) to create impactful insights.
Integrate analytics, algorithms, and models with the existing BI tools including Cognos and Tableau, using R or similar language
Develop analytical models to support strategic management decision making
Processing, cleansing, and verifying the integrity of data used for analysis
Maintain and enhance existing forecasting models
Create ad-hoc analysis and handle data requests from business stakeholders
Bridge operational analytics to financial impacts, participate in project-based initiatives, and perform other duties as assigned
Qualifications
Required Qualifications
Bachelor's Degree
Experience with common data science toolkits (R, Python, MatLab, etc.)
Proficiency in SQL.
Proven ability to communicate technical business requirements to non-technical end users.
Ability to communicate in English, both verbally and in written form.
Must have strong organizational skills and be able to prioritize and meet multiple deadlines within a fast-paced environment.
Attention to details is critical.
Preferred Qualifications
MS/MA/Master's Degree
Timeshare proven experience
Preferred experience with using Tableau or Cognos.
3-5 years prior data scientist experience.
Why do Team Members Like Working for us?
We offer an excellent benefit package to our full-time Team Members that include medical, dental and vision insurance, 401K plan, Paid Time Off (PTO) program and extraordinary travel benefits!
Excellent health care options (medical, dental, and vision that encourage preventative care).
Outstanding Paid Time Off (PTO) that allows for adventure, rest, relaxation or recuperation.
All new Team Members are automatically enrolled in the HGV Retirement Savings Plan.
Our Go Hilton Team Member Travel Program offers accommodations at deeply discounted rates and 50% off at participating hotel-operated restaurants. Pass the savings on since HGV allows you to share additional discounted room nights.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",$61K - $120K (Glassdoor est.),3.9,5001 to 10000 Employees,Company - Public,Hotels & Travel Accommodation,1992,Hotels & Resorts,Unknown / Non-Applicable
Apple,"Data Scientist, Model Testing","Austin, TX","Summary
Posted: Feb 10, 2022
Weekly Hours: 40
Role Number:200337436
The people here at Apple don’t just create products – we build the kind of wonder that’s revolutionized entire industries! It’s the diversity of our people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple and help us leave the world better than we found it. Apple’s Strategic Data Solutions (SDS) team is looking for an exceptional and experienced data scientist to build and manage experimentation for our machine learning models. The ideal candidate will have expertise on model inference testing, analysis, and uplift measurement. Your role will also include partnering with engineers, product managers, and analytics teams to lead the way we manage our model experimentation and learning, including metrics and analytics. Working as part of a cross-functional team, you will solve challenges around experimentation and decision automation for the organization. This position is in Austin, TX.
Key Qualifications
Expert knowledge of experimental design principles with 3+ years of experience crafting and running A/B or multivariate testing projects.
Proficient with and have experience applying various statistical methodologies including Bayesian and non-parametric techniques, hypothesis testing, ANOVA, regression, fixed and random effects, etc. to measure impact of experiments.
Hands on experience working in big data environments such as Splunk, Teradata, or Snowflake and using Python / SQL or comparable languages for manipulating and analyzing sophisticated clickstream data.
Experience with machine learning engineering and data science in the realm of model validation, inference testing, and/or uplift modeling.
Excellent written and verbal communication skills.
Description
• Manage our machine learning model verification and testing efforts. • Collaborate with product teams to propose, develop, and implement experiments for investigating and answering business questions. • Partner with Engineering and QA team to build A/B and Multivariate tests using designated testing platforms. • Partner with Data Engineering to ensure accurate collection of experiment values into the analytical clickstream. • Quantify and analyze testing outcomes and provide analytical readouts on test results using various statistical techniques. • Continuously supervise the business and technical requirements of the experimentation system; improve testing processes continuously to meet business needs. • Make recommendations to systems development teams for system improvements.
Education & Experience
Additional Requirements
To learn more about opportunities at Apple, visit http://www.apple.com/jobs/us/
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.",-1,4.2,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD)
Comcast,Data Scientist,"Philadelphia, PA","Comcast’s Technology, Product & Experience organization works at the intersection of media and technology. Our innovative teams are continually developing and delivering products that transform the customer experience. From creating apps like TVGo to new features such as the Talking Guide on the X1 platform, we work every day to make a positive impact through innovation in the pursuit of building amazing products that are enjoyable, easy to use and accessible across all platforms. The team also develops and supports our evolving network architecture, including next-generation consumer systems and technologies, infrastructure and engineering, network integration and management tools, and technical standards. We offer a flexible working environment to balance the need to work independently wherever you choose, with days that require collaboration at one of our offices. Our roles primarily reside inside or around one of our Tech Hubs (Philadelphia and surrounding suburbs, Denver, Austin, Silicon Valley, Washington DC/N. Virginia). Some roles can work virtual full-time if they are not near a Tech Hub, but that is dependent upon the needs of the position and amount of collaboration required.
Job Summary Responsible for transforming large, complex data into consumable business databases and applications for self-service analytics and reporting. Create system architecture, design and specification using in-depth engineering skills and knowledge to solve difficult development problems and achieve engineering goals. Determine and source appropriate data for a given analysis. Work with data modelers/analysts to understand the business problems they are trying to solve then create or augment data assets to feed their analysis. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as resource for colleagues with less experience.
Job Description
The Technology, Product, Experience (TPX) organization works at the intersection of media and technology and our innovative teams are continually developing and delivering products and next-generation technologies that transform the customer experience. The Comcast Network and CONNECTivity (CONNECT) organization is a highly agile, fast-paced, dedicated group at the forefront of change focused on innovating, building, and operating the best in class, most reliable access network for our customers.

The CONNECT team is looking for a Data Scientist with a drive for understanding and making impactful decisions through insightful use of data to join Comcast. We are using cutting edge cloud technology and data analytical frameworks to help provide our customers with accurate information to help influence their business decisions.

Bring a combination of mathematical rigor and innovative algorithm design to create recipes that extract relevant insights from billions of rows of data to meaningfully improve Comcast user experience.
Do you like big challenges and working within a highly-motivated team environment? As a Data Scientist, you will research, develop, support and apply new techniques using real-time distributed computing architectures. You will employ your skills to deliver insights into customer and network behavior to drive business decisions that will shape the future of Comcast and be part of a team that thrives on big challenges, results, quality, and agility.

Who does the Data Scientist work with?
The Data Engineering and Science team as part of our CONNECTivity team is a diverse collection of professionals who work with a variety of organizational roles ranging from software engineering teams whose software integrates with analytics services, network architects and engineers, to service delivery engineers who provide support for our product, testers, operational stakeholders with all manner of information needs, and executives who rely on data for data based decision making.

What are some interesting problems you’ll be working on?
Develop models capable of processing millions of events per second and multi-billions of events per day, providing both a real time and historical view into the operation of our products and services. Work on high performance real time data stores and a massive historical data sets using best-of-breed and industry leading technology. Work closely with various engineering teams to solve key optimization, insight and access network data challenges.

Where can you make an impact?
The Comcast CONNECTivity Data Engineering and Science team is acquiring, studying, simulating, and modeling to enable data as a key driver and core functional component toward better understanding, predicting, and dynamically optimizing the access network to improve overall user experience. Success in this role is best enabled by a broad mix of skills and interests ranging from traditional distributed systems software engineering prowess to the multidisciplinary field of data science.

Skills & Experience We're Looking For:
Key skillsets: Statistical analysis, machine learning, software development, code fluency (SQL, Spark, Python, R)
Strong problem-solving skills
Proficiency in at least one language (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets
Experience using Spark and machine learning packages (Tensorflow, Keras, Pytorch) to build models
Extensive knowledge and working experience on a variety of machine learning techniques (clustering, decision trees, artificial neural networks, etc.) and their real-world advantages/drawbacks
Coding background with several languages: Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Advanced degree in Statistics, Mathematics, Computer Science or another quantitative field
2-3+ years of experience manipulating data sets and building statistical models

About Our Perks & Benefits:
We are determined to create an environment where our employees feel valued, understand our business goals, and are motivated.
Here's a look at just some of the perks and benefits we make available to our US-based employees:
Medical & Dental
401(k) Savings Plan
Generous paid time off
Life Milestones - from adoption assistance, childcare resources, pet insurance, and more, Comcast supports you at all life stages.
Courtesy Services - We offer all of our full-time employees in serviceable areas free digital TV and internet.
Discount tickets for Universal Resorts, including theme park tickets and onsite hotel rooms. Learn more at jobs.comcast.com/life-at-comcast/benefits

Reasonable Accommodation
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, perform essential job functions, and receive other benefits and privileges of employment. Please contact us to request an accommodation.

Disclaimer:
This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.
Education
Master's Degree
While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.
Relevant Work Experience
5-7 Years
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",$80K - $137K (Glassdoor est.),3.9,10000+ Employees,Company - Public,Telecommunications,1963,Telecommunications Services,$10+ billion (USD)
Superior Beverage Group,Data Scientist,"Cleveland, OH","Position Title: Data Scientist
Job Location: Cleveland - Glenwillow, OH
Job Shift: Day
Position Type: Full Time

This is not a remote position- we will only accept applications from the surrounding Cleveland and Columbus areas.

The Data Scientist will work in conjunction with key stakeholders to gather, analyze and compile data to utilize in strategic business planning to achieve company objectives.

Data Scientist Schedule
Monday through Friday. 8am-5pm reporting to our location in Cleveland, Ohio or Columbus, Ohio

Data Scientist Benefits Include:
Paid training and career development
Company supplied technical equipment
Workout facility
Vacation time, personal days, and paid holidays
Company events
Safe work environment
Medical, Dental, Vision
HSA
Prescription drug coverage
401(k)
Additional benefits

Data Scientist Job Functions:
Gather data inputs from multiple sources and develop workflows for processing data
Build deep understanding of data structures and our technology stack (Tableau, Alteryx, database and cloud-storage, embedding)
Build custom data sources using your data wrangling skills
Develop dashboards, reporting tools and workflows to meet product development business objectives
Partner with stakeholders to create a shared vision on how to solve client challenges
Validate and test your work to ensure accuracy and quality of data
Provide support and training to stakeholders on reporting tools and reports
Collaborate with our team of creative and passionate professionals


What you need for the Data Scientist role:
Bachelors degree or equivalent work experience
3+ years of data analytics and/or BI and Analytics experience
Love for statistical modeling and machine learning algorithms, including but not limited to regression, simulation, scenario analysis, clustering, decision trees, neural networks
Demonstrated understanding of SQL, relational database structures, and cloud-based data platforms
Practical knowledge of industry standard BI tools such as Tableau (preferred), Power BI, Looker, Qlik, etc.; as well as ETL tools such as Alteryx (preferred), SSIS, Informatica, etc.
Experience with cloud platforms and their components (AWS and Azure, including their data transformation and ETL functionality)
ETL / Data Integration Experience, Web-Scraping
Real world experience with current object-oriented programming languages such as Python, R, Ruby, Java, Scala, etc.
Web development experience with JavaScript, HTML, CSS, React.JS, Django, Node.JS
An intuitive ability to use data to tell compelling stories supported by creative and engaging visualizations
Attention to detail, speedy cadence, people skills that motivate and a habit of improvement





PI177024596",$62K - $98K (Glassdoor est.),3.3,-1,Food & Beverage Manufacturing,Unknown / Non-Applicable,Company - Private,Manufacturing,
"Healthcare Staffing Professionals, Inc.",Public Health Data Scientist,"Los Angeles, CA","Healthcare Staffing Professionals has an immediate need for a Data Scientist. The Data Scientist will design, conduct, and analyze the results of experiments quantifying uncertainty in the context of public health. The candidate will also build pipelines of clean data and deliver data in an easily consumable way for epidemiologists and other data analysts.
The position will start immediately upon acceptance and employment clearance and is initially funded through 2/22/2022
Pay Rate-
$53.71/hr working 40 hours a week
Benefits:
Paid Holidays, Paid Sick Time, PTO
Healthcare
Employer Fully Funded Healthcare (Anthem Blue Cross), Dental and Vision, Life Insurance from Initial Start Date.
Shifts: M-F (Telework)
Employee will be working a minimum of 8 hours a day between the hours of 7 AM to 7 PM.
Job Duties
· Work on each stage in the data science lifecycle, from beginning to end.
· Design, conduct, and analyze the results of experiments quantifying uncertainty in the context of public health.
· Build pipelines of clean data and deliver data in an easily consumable way for epidemiologists and other data analysts.
· Leverage statistics/machine learning knowledge to analyze, model, and communicate visually underlying features and phenomena.
· Collaborate with data engineers, project managers, epidemiologists, and public health information systems folks to solve complex problems, identify opportunities and threats to the organization, and help modernize the analytic toolchain in local government.
· Create and implement data analysis processes and procedures.
· Serve as internal analytics resource for data analysts to use to improve analytic expertise; share software development experience.
· Inform, influence, support, and ship analytic and data products.
Minimum Qualifications:
Option I: Four years of experience applying advanced statistical analyses, including predictive analytics, to produce actionable recommendations that support data-driven program, policy, and operational decision-making in a clinical or public health field -OR-
Option II: A bachelor’s degree from an accredited college in a field of applied research such as data science, machine learning, mathematics, psychology, or business analytics that includes substantial coursework in data science, predictive analytics, or statistical analysis -AND- four years of experience applying machine learning, predictive analytics, data management, and hypothesis-driven data analysis to produce actionable recommendations to support data-driven program, policy, and operational decision-making. A master’s degree from an accredited college or university in a field of applied research such data science, machine learning, mathematics, psychology, epidemiology, business analytics or the equivalent may substitute
Option III: A doctoral degree from an accredited college or university with specialization in data science, epidemiology, machine learning, biostatistics, IT or its equivalent -AND- two years of experience working in a public health setting; and
Valid Class C California Driver’s License or the ability to utilize an alternative method of transportation when needed to carry out job-related essential functions.
Desirable Qualifications:
· 4+ years experience in data related work including experimentation, analytics, statistical modeling/machine learning, or data engineering.
· BA/BS in Math, Statistics, Computer Science, or other quantitative field—advanced degree preferred but not required.
· Expertise in R or Python; willingness to work in both languages depending on the use case.
· Fluency in SQL with some development of automation/ETL.
· Experience with report automation and interactive dashboard development in R (shiny) or Python (Dash or Streamlit).
· Demonstrated experience with git and GitHub.
· Ability to initiate and drive projects to completion with minimal guidance.
· Excellent communication and collaboration skills to engage and partner with stakeholders and teammates.
· Experience with large data sets and distributed computing (HIVE/Sark) a plus.
· CI/CD experience a plus.
Job Types: Full-time, Contract
Pay: $53.71 per hour
Benefits:
Dental insurance
Health insurance
Schedule:
8 hour shift
Work Location: One location",Employer Provided Salary:$54 Per Hour,4.2,1 to 50 Employees,Company - Public,Healthcare,2006,Health Care Services & Hospitals,$10 to $25 million (USD)
BEPC Inc,CW Data Scientist,"Plano, TX","BEPC Inc is looking for a Data Scientist in Plano, TX!
Contract W2 Period: 1 year contract with possibilities for extensions
Pay & Benefits: $40.44/hr. +Medical, Dental, Vision and Life Insurance

NOTES:
We are looking for someone who is strong with Python and SAS programming.
This team uses Python Languages like: pandas, numpy, sklearn, etc.
Candidate should have some experience with for SQL and modeling
This role will be based out of PLANO-HQ (Hybrid-schedule).

Description:
This position will provide customer and marketing insight to the stakeholders through analysis, research, and modeling.
Provide analytical support to the organization by leveraging data mining tools and analytical methodologies
Assist in data modeling and analysis to determine key customer insights, drive business strategies, and maximize ROI
Integrate internal and external data sources, be comfortable working with both structured and unstructured data
Assist in advanced quantitative methods to segment customers and evaluate customer related activities for effectiveness and efficiency
Assist in development, maintenance, and enhancement of statistical models in Python
Use statistical tools and techniques to extract and analyze trends from the customer database warehouse
Prepare and deliver presentations with complex analytical concepts, comfortable presenting to the business and upper management.
Experience in deep dive analysis and applying analytic techniques to customer/consumer behavior data to determine key customer insights, drive business strategies and maximize ROI.
Conduct multi-channel deep dive analysis for online and offline contexts using browsing and purchase data; assist in development and analysis of real-time data flows.
Ability to partner with business groups to provide decision support and help determine and drive business strategies by leveraging data
Comfortable working with big data/large datasets.

Requirements:

2-5 years’ experience in a data scientist or data analytics role
Hands-on experience using Python, SQL and Tableau/PowerBI
Knowledge of at least one statistical programming language (R, SAS)
Strong quantitative skills
Experience in applying advanced statistical or machine learning techniques
Knowledge of dashboard and reporting software (Tableau, OBIEE, etc.)
Understanding of relational databases
Bachelor’s degree in a quantitative discipline (Statistics, Applied Mathematics, etc) or sufficient on the job use of related skills. Masters/Phd degree is a plus.
Strong presentation and communication skills
Exceptional standards for quality and strong attention to detail
Comfortable working with business partners and the ability to take initiative to drive projects forward.
Must be able to multitask and handle multiple projects at any given time.

BEPRO",Employer Provided Salary:$40 Per Hour,3.7,-1,Business Consulting,$10 to $25 million (USD),Company - Private,Management & Consulting,
"The Travelers Companies, Inc.",Data Scientist,"Hartford, CT","Who Are We?

Taking care of our customers, our communities and each other. That's the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.

Job Category

Analytics & Research

Compensation Overview

The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.

Salary Range
$110,600.00 - $182,600.00

Target Openings

1

What Is the Opportunity?

Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As a Data Scientist, you will work with business partners to tell the story using data by identifying challenges and opportunities for data analysis and experiments. You will build models that solve key business challenges and enhance our customer experience.
Primary Job Duties & Responsibilities
Assist in design and development of analytical solutions.
Share knowledge with the community through discussions, presentations, or peer reviews.
Begin to set and manage expectations with business partners for small projects, and with guidance, identify potential conflicts and build consensus.
Communicate analysis, insights, and results to manager, peers and business partners and with guidance, tailor communication to the audience.
Become a mentor or resource for less experienced analytic talent, onboard new employees and interns, and provide support for intern recruiting and talent assessment efforts.
Support various training and skill development initiatives
Minimum Qualifications
Master's degree in Statistics, Mathematics, Decision Sciences, Actuarial Science or related analytical STEM field plus two years of experience or any suitable and equivalent combination of education and work experience.
Heavy concentration in mathematics, including statistics and programming, business intelligence/analytics, as well as data science tools and research using large data sets. Additional verification of specific coursework will be required.

Education, Work Experience, & Knowledge
Masters in STEM related field or equivalent
3 years of related experience
Strong working knowledge of modeling/ research/analytics or actuarial required
Relevant statistical analysis work experience required
Strong Knowledge of statistical techniques with the ability to read/revise/ review statistical software programs
Ability to develop models and interpret model results
Understanding of advanced statistics underlying data models
Ability to apply emerging statistical procedures to work
Strong knowledge in: Regression, Classification, Machine Vision, Natural Language Processing, Deep Learning and Statistical modeling.

Employment Practices

Travelers is an equal opportunity employer. We value the unique abilities and talents each individual brings to our organization and recognize that we benefit in numerous ways from our differences.

If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an email so we may assist you.

Travelers reserves the right to fill this position at a level above or below the level included in this posting.

To learn more about our comprehensive benefit programs please visit http://careers.travelers.com/life-at-travelers/benefits/.",$78K - $130K (Glassdoor est.),3.9,10000+ Employees,Company - Public,Insurance,1853,Insurance Carriers,$10+ billion (USD)
